id;slug;title;excerpt;content;category;image_url;read_time;published;published_at;created_at;updated_at
8463a484-cebb-4f13-af5a-f9a6b2003be5;secreto-pastel-pollo;El secreto detrás de nuestro Pastel de Pollo;Descubre por qué nuestro pastel de pollo es considerado el mejor de Colombia: la masa, el relleno y el horneado perfecto.;Nuestro pastel de pollo es el resultado de más de 40 años de perfeccionamiento. Todo comienza con una masa artesanal preparada cada mañana, un relleno generoso de pollo desmechado sazonado con especias colombianas, y un horneado lento que garantiza la textura perfecta.;recetas;;4 min;true;2026-03-08 17:04:37.302589+00;2026-03-08 17:04:37.302589+00;2026-03-08 17:04:37.302589+00
2a220531-7cf6-49e4-a680-1d82e9c187bb;receta-pastel-pollo-colombiano;Receta del pastel de pollo colombiano paso a paso;Aprende a preparar en casa el auténtico pastel de pollo colombiano con nuestra guía completa.;Ingredientes: Masa (harina de trigo, mantequilla, sal, agua). Relleno (pechuga de pollo, cebolla, zanahoria, papa, arvejas, comino, color). Paso 1: Prepara la masa mezclando la harina con la mantequilla fría. Paso 2: Cocina el pollo y desmecha. Paso 3: Arma los pasteles y hornea a 180°C por 25 minutos.;recetas;;7 min;true;2026-03-08 17:04:37.302589+00;2026-03-08 17:04:37.302589+00;2026-03-08 17:04:37.302589+00
1ca06197-d975-4505-b46e-3bd4f83206df;primer-pastel-pollo-1985;El primer pastel de pollo de 1985: así comenzó todo;La historia del primer pastel que doña Carmen horneó en una cocina prestada del barrio Quirinal.;En 1985, con apenas tres ingredientes y una cocina prestada, doña Carmen preparó el primer pastel de pollo que daría inicio a lo que hoy conocemos como Delicias Colombianas.;historia;;5 min;true;2026-03-08 17:04:37.302589+00;2026-03-08 17:04:37.302589+00;2026-03-08 17:04:37.302589+00
ca46c635-516d-4e03-92d5-fecdb4d40bb7;empanada-colombiana-perfecta;Cómo hacer la empanada colombiana perfecta;La masa de maíz, el punto de fritura y el ají casero para un sabor auténtico.;La empanada colombiana perfecta requiere una masa de maíz bien sazonada, un relleno generoso y el punto exacto de fritura. Acompaña siempre con ají casero.;recetas;;6 min;true;2026-03-08 17:04:37.302589+00;2026-03-08 17:04:37.302589+00;2026-03-08 17:04:37.302589+00
5f46d1ed-74fe-4374-ab0c-194666c5b13f;cafe-colombiano-preparacion;5 formas de preparar café colombiano como un experto;Del tinto campesino al espresso moderno. Saca el máximo sabor a los granos.;El café colombiano se puede preparar de muchas formas: tinto tradicional, café de olla, pour over, prensa francesa o espresso. Cada método resalta diferentes notas del grano.;tips;;4 min;true;2026-03-08 17:04:37.302589+00;2026-03-08 17:04:37.302589+00;2026-03-08 17:04:37.302589+00
ebce0f2f-b7a1-4e0f-9c60-2ba294697c88;historia-pasteleria-colombiana;Historia de la pastelería colombiana: de la colonia al siglo XXI;Un recorrido histórico por la evolución de la pastelería y panadería en Colombia.;"La historia de la pastelería colombiana es un fascinante cruce de culturas. Cuando los españoles llegaron, trajeron el trigo, la mantequilla y las técnicas de horneado europeas.

Durante la colonia, las monjas de los conventos fueron las grandes innovadoras. En claustros de Bogotá, Tunja y Popayán nacieron recetas como las almojábanas y los buñuelos de queso.

El pastel de pollo se consolidó en el siglo XX como el rey de la panadería bogotana. Cada barrio tenía su versión, pero todas compartían la misma esencia.

Hoy, la pastelería colombiana vive un renacimiento. En Delicias Colombianas creemos que la innovación debe sumar, nunca reemplazar.";historia;;6 min;true;2026-03-08 19:14:34.823+00;2026-03-08 17:21:03.742192+00;2026-03-08 19:14:35.012482+00
05822f4d-9755-4b11-b8d5-c6736572eb09;origen-conflicto-armado-familia-pastelera;Huyendo del conflicto armado: cómo nació Delicias Colombianas;La historia de una familia campesina que escapó de la violencia en Boyacá y encontró en Bogotá el lugar para convertir sus recetas en legado.;"En los años 70, la familia Rodríguez vivía en una pequeña finca en las montañas de Boyacá. Don José cultivaba papa y cebolla, mientras doña Carmen preparaba arepas, almojábanas y pasteles para los vecinos.

Todo cambió cuando el conflicto armado colombiano llegó a su región. Los grupos armados empezaron a extorsionar a los campesinos.

En 1982, después de que quemaran la finca de su vecino, don José tomó la decisión más difícil de su vida: dejar todo atrás. Con doña Carmen, sus tres hijos pequeños y apenas dos maletas, tomaron un bus hacia Bogotá.

Llegaron al barrio Quirinal. Un domingo de 1985, doña Carmen horneó 20 pasteles de pollo. Se agotaron en menos de una hora.

Poco a poco el negocio creció. En 1998 inauguraron el primer local. La segunda generación abrió Sprint Norte en 2010 sin cambiar ni un gramo de las recetas originales.";historia;;8 min;true;2026-03-08 18:41:05.545089+00;2026-03-08 17:04:37.302589+00;2026-03-08 18:41:05.545089+00
5a8e11fc-3464-45b7-9fb7-48f468b92888;almojabana-tradicion-boyacense;La almojábana: tesoro de la tradición boyacense;Historia y preparación de la almojábana, un bocado de origen árabe convertido en ícono colombiano.;"La almojábana es uno de los tesoros más antiguos de la gastronomía colombiana. Su nombre viene del árabe ""al-muyabbana"".

En Boyacá es mucho más que un pan: es tradición familiar. Se mezcla queso campesino fresco con harina de maíz, almidón de yuca, huevos y sal.

Doña Carmen trajo esta receta de su infancia en Boyacá. Cada almojábana que servimos es un homenaje a esa tradición campesina.";historia;;4 min;true;2026-03-08 18:41:25.057144+00;2026-03-08 18:41:25.057144+00;2026-03-08 18:41:25.057144+00
74416d2e-8b0a-4a62-8039-dfff59423b32;pandebono-valle-del-cauca;Pan de bono: el sabor del Valle del Cauca en Bogotá;Todo sobre el pan de bono, el bocado estrella del Valle del Cauca que conquistó a Colombia.;"El pan de bono es originario del Valle del Cauca. Lleva almidón de yuca, queso costeño, cuajada fresca y huevo.

El secreto está en el queso: usamos una mezcla de queso costeño y cuajada fresca. La proporción exacta es nuestro secreto.

En nuestras sedes horneamos pan de bono fresco varias veces al día. Acompáñalo con café colombiano para la experiencia completa.";recetas;;4 min;true;2026-03-08 18:41:25.057144+00;2026-03-08 18:41:25.057144+00;2026-03-08 18:41:25.057144+00
d62a7803-5408-413d-a6d1-314510610313;mejores-pastelerias-bogota;Las mejores pastelerías de Bogotá en 2026;Descubre las mejores pastelerías y panaderías artesanales de Bogotá en 2026.;"Bogotá es una ciudad de panaderos. Desde las panaderías de barrio hasta los nuevos conceptos artesanales, la oferta es inmensa.

Delicias Colombianas, con sedes en Quirinal y Sprint Norte, se ha mantenido como referente del pastel de pollo artesanal desde 1985.

Nuestro consejo: la mejor pastelería no es la más moderna. Es la que hornea fresco cada día, usa ingredientes de verdad y tiene una historia que contar.";tips;;5 min;true;2026-03-08 18:41:25.057144+00;2026-03-08 18:41:25.057144+00;2026-03-08 18:41:25.057144+00
1212b978-e307-4132-a6e4-87c245a69d94;pastel-pollo-eventos-bogota;Pastel de pollo para eventos en Bogotá: guía completa;Guía completa para pedir pasteles artesanales para eventos corporativos y fiestas en Bogotá.;"Si estás organizando un evento en Bogotá, el pastel de pollo artesanal es siempre una apuesta segura.

Para desayunos calcula 2 pasteles por persona. Para eventos tipo brunch, 1.5. Para pedidos grandes recomendamos 48-72 horas de anticipación.

Nuestros pasteles combinan perfecto con café colombiano de origen. Para cotizar tu evento, visita nuestra sección de Empresas o escríbenos por WhatsApp.";tips;;4 min;true;2026-03-08 18:41:25.057144+00;2026-03-08 18:41:25.057144+00;2026-03-08 18:41:25.057144+00
76a54a7b-fda8-41c5-b129-8b75e37db69b;cafe-colombiano-origen;¿Por qué el café colombiano es el mejor del mundo??;Descubre qué hace único al café colombiano: desde las montañas del Huila hasta tu taza.;"Colombia produce algunos de los cafés más apreciados del planeta. La respuesta está en la geografía, el clima y la pasión de nuestros caficultores.

Las montañas colombianas entre 1.200 y 2.000 metros ofrecen condiciones ideales: suelos volcánicos, temperaturas perfectas y lluvias bien distribuidas.

En Delicias Colombianas seleccionamos granos de origen del Huila y Nariño, tostados en perfil medio. Cada taza se prepara al momento.";tips;;5 min;true;2026-03-08 18:41:25.057144+00;2026-03-08 18:41:25.057144+00;2026-03-18 15:16:11.455534+00